start_house_number,end_house_number,odd_even_both,start_apartment_number,end_apartment_number,non_house_address_house_number,non_house_address_house_number_prefix,non_house_address_house_number_suffix,non_house_address_street_direction,non_house_address_street_name,non_house_address_street_suffix,non_house_address_address_direction,non_house_address_apartment,non_house_address_city,non_house_address_state,non_house_address_zip,precinct_id,precinct_split_id,id
1800,2098,even,,,,,,,LAMBERT,RD,,,GRAHAM,NC,27253,9100121,710011723,99100110000
1801,2099,odd,,,,,,,LAMBERT,RD,,,GRAHAM,NC,27253,9100121,710011723,99100110001
1300,1598,even,,,,,,,LANCELOT,LN,,,GRAHAM,NC,27253,9100115,710012224,99100110002
1301,1599,odd,,,,,,,LANCELOT,LN,,,GRAHAM,NC,27253,9100115,710012224,99100110003
4200,4598,even,,,,,,,LANDI,LN,,,MEBANE,NC,27302,9100123,710011692,99100110004
4201,4599,odd,,,,,,,LANDI,LN,,,MEBANE,NC,27302,9100123,710011692,99100110005
400,598,even,,,,,,,LANE,ST,,,BURLINGTON,NC,27217,9100130,71001421,99100110006
401,599,odd,,,,,,,LANE,ST,,,BURLINGTON,NC,27217,9100130,71001421,99100110007
201,399,odd,,,,,,,LANG,CT,,,HAW RIVER,NC,27258,9100137,710016637,99100110008
200,598,even,,,,,,,LANG,ST,,,HAW RIVER,NC,27258,9100137,710016637,99100110009
201,599,odd,,,,,,,LANG,ST,,,HAW RIVER,NC,27258,9100137,710016637,99100110010
1400,1498,even,,,,,,,LANIER,CT,,,BURLINGTON,NC,27217,9100134,710015349,99100110011
1401,1499,odd,,,,,,,LANIER,CT,,,BURLINGTON,NC,27217,9100134,710015349,99100110012
100,110,even,,,,,,,LARAMIE,CT,,,MEBANE,NC,27302,9100123,710014011,99100110013
101,109,odd,,,,,,,LARAMIE,CT,,,MEBANE,NC,27302,9100123,710014011,99100110014
600,898,even,,,,,,,LARRY,AVE,,,GRAHAM,NC,27253,9100114,710012678,99100110015
601,899,odd,,,,,,,LARRY,AVE,,,GRAHAM,NC,27253,9100114,710012678,99100110016
900,1098,even,,,,,,,LARRY,ST,,,BURLINGTON,NC,27217,910019,710016377,99100110017
901,1099,odd,,,,,,,LARRY,ST,,,BURLINGTON,NC,27217,910019,710016377,99100110018
500,598,even,,,,,,,LASHLEY,ST,,,GRAHAM,NC,27253,9100114,710012678,99100110019
2700,2798,even,,,,,,,LAUNDRY,RD,,,ELON,NC,27244,910019,710016377,99100110020
2701,2799,odd,,,,,,,LAUNDRY,RD,,,ELON,NC,27244,910019,710016377,99100110021
100,598,even,,,,,,,LAUREL HILL,DR,,,BURLINGTON,NC,27215,9100128,710014523,99100110022
101,599,odd,,,,,,,LAUREL HILL,DR,,,BURLINGTON,NC,27215,9100128,710014523,99100110023
2,10,even,,,,,,,LAUREL OAK,,,,ELON,NC,27244,910013,710012825,99100110024
1,9,odd,,,,,,,LAUREL OAK,,,,ELON,NC,27244,910013,710012825,99100110025
5700,5898,even,,,,,,,LAUREL RIDGE,DR,,,SNOW CAMP,NC,27349,910011,710017878,99100110026
5701,5899,odd,,,,,,,LAUREL RIDGE,DR,,,SNOW CAMP,NC,27349,910011,710017878,99100110027
1700,1998,even,,,,,,,LAURIE,DR,,,HAW RIVER,NC,27258,9100122,710011796,99100110028
1701,1999,odd,,,,,,,LAURIE,DR,,,HAW RIVER,NC,27258,9100122,710011796,99100110029
